Hora_local;Dia_ano;Irradiancia_teorica;Irradiancia_ajustada;Temperatura;P_pv_inst;E_total;E_pv;E_grid;CO2
12:28;52;978.18;315.952;28.7;0.624515;0.0333333;0.0104086;0.0229247;2.29247
12:29;52;977.65;315.781;28.7;0.624176;0.0333333;0.0104029;0.0229304;2.29304
12:30;52;977.1;315.603;28.8;0.62354;0.0333333;0.0103923;0.022941;2.2941
12:31;52;976.533;315.42;28.8;0.623178;0.0333333;0.0103863;0.022947;2.2947
12:32;52;975.947;315.231;28.8;0.622804;0.0333333;0.0103801;0.0229533;2.29533
12:33;52;975.342;315.035;28.8;0.622418;0.0333333;0.0103736;0.0229597;2.29597
12:33;52;975.342;315.035;28.8;0.622418;0.0333333;0.0103736;0.0229597;2.29597
12:34;52;974.719;314.834;28.8;0.62202;0.0333333;0.010367;0.0229663;2.29663
12:35;52;974.077;314.627;28.8;0.621611;0.0333333;0.0103602;0.0229732;2.29732
12:36;52;973.417;314.414;28.8;0.62119;0.0333333;0.0103532;0.0229802;2.29802
12:37;52;972.738;314.195;28.8;0.620757;0.0333333;0.0103459;0.0229874;2.29874
12:38;52;972.042;313.969;28.8;0.620312;0.0333333;0.0103385;0.0229948;2.29948
12:39;52;971.326;313.738;28.8;0.619855;0.0333333;0.0103309;0.0230024;2.30024
12:40;52;970.592;244.347;28.8;0.482758;0.0333333;0.00804596;0.0252874;2.52874
12:41;52;969.84;244.157;28.8;0.482383;0.0333333;0.00803972;0.0252936;2.52936
12:42;52;969.07;243.963;28.8;0.482;0.0333333;0.00803334;0.0253;2.53
12:43;52;968.281;243.765;28.8;0.481608;0.0333333;0.0080268;0.0253065;2.53065
12:44;52;967.474;243.562;28.8;0.481206;0.0333333;0.00802011;0.0253132;2.53132
12:45;52;966.648;243.354;29.5;0.479217;0.0333333;0.00798695;0.0253464;2.53464
12:46;52;965.804;243.141;29.5;0.478798;0.0333333;0.00797997;0.0253534;2.53534
12:47;52;964.942;242.924;29.5;0.478371;0.0333333;0.00797285;0.0253605;2.53605
12:48;52;964.062;242.703;29.5;0.478163;0.0333333;0.00796938;0.025364;2.5364
12:49;52;963.163;242.476;29.5;0.477717;0.0333333;0.00796195;0.0253714;2.53714
12:50;52;962.246;242.245;29.5;0.477262;0.0333333;0.00795437;0.025379;2.5379
